SMILES,tg
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,459.0
NCCCCCCN.OC(=O)CCCCC(=O)O,324.0
C=Cc1ccccc1,373.0
C=CC(=O)Oc1ccccc1C(C)(C)C,345.0
CC=C,264.0
C=Cc2ccc(C(=O)Cc1ccccc1)cc2,351.0
CCCCCCOC=C,198.0
FC(=C)F,242.0
C=CC(=O)Oc1cccc(C(=O)OC)c1,311.0
C=CC(=O)OCCC(C)C,228.0
C=CC(=O)NC(C)(C)C,401.0
C=CC(=O)OF,288.0
C=CC(=O)OCCC(=O)CCC(=O)C(F)(F)C(F)F,233.0
C=Cc2ccc(Cc1ccc(OC)cc1)cc2,376.0
CC(=C)C#N,388.0
C=Cc1ccc(C(=O)OC(C)C)cc1,368.0
C=CC(=O)Oc1ccc(CCCOC)cc1,198.0
C=Cc1ccc(C(=O)N(CC)CC)cc1,375.0
C=CC(=O)Nc1ccccc1,425.0
CCCCCCCC=C,225.0
OC(=O)c1ccc(cc1)C(=O)O.OCCCCO,313.0
C=Cc1ccc(C(C)CCC)cc1,359.0
Brc1ccc(cc1)Br,538.0
C=CC(=O)Oc1ccccc1C(=O)OCC,303.0
CCC(c1ccc(cc1)O)(c1ccc(cc1)O)C.ClC(=O)Cl,415.0
C=CC(=O)OCC(C)C,249.0
NCCCCCCN.OC(=O)CCCCCCCCCCC(=O)O,319.0
OC(=O)c1cccc(c1)C(=O)O.OCCCCO,297.0
C=CC(=O)Oc2ccc(c1ccccc1)cc2,383.0
CC=CC=C,204.0
FC(=C(F)F)F,390.0
FC(F)C(F)(F)COC(=O)C(=C),249.0
O=C=O.CC1CO1,310.0
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)F,218.0
OC(=O)CCCCCCCCC(=O)O.NCCCCCCCCCCN,323.0
BrC=C,373.0
C=CC(=O)OCCC(=O)CC#N,250.0
OC(=O)c1ccc(cc1)C(=O)O.OCC1CCC(CC1)CO,364.0
OC(=O)C=C,374.0
ClCC1CO1,252.0
OC(=O)c1ccc(cc1)C(=O)O.OCCO,344.0
OC(=O)CCC(=O)O.OCCCCCCO,220.0
C=Cc1ccccc1CCOC,347.0
C=Cc1ccc(C(=O)CCCCC)cc1,339.0
FC(=C(F)F)Cl,360.0
C1Cc2ccc(cc2)CCc2ccc1cc2,343.0
C=C(C)CC,255.0
CCCCC=C,223.0
C=CC(=O)OCC(CC)CC,223.0
OC(=O)CCC(=O)O.OCCCO,232.0
C1CCO1,197.0
OC(=O)CCC(=O)O.OCCCCO,237.0
OC(=O)CCCCC(=O)O.OCCCCO,202.0
C=Cc1ccc(COC)cc1,350.0
CCCCOCC1CO1,194.0
C=CC#N,383.0
CC(c1cc(Cl)c(c(c1)Cl)O)(c1cc(Cl)c(c(c1)Cl)O)C.ClC(=O)Cl,500.0
CCCCCCCCOC=C,193.0
Clc1cc2CCc3ccc(CCc1cc2)cc3Cl,358.0
O=C1CCCO1,221.0
C=Cc1ccc(C(=O)OCCCC)cc1,349.0
OC(=O)CCCCC(=O)O.OCCCO,215.0
C=CC(=O)OCCCCCCCCC,215.0
OC(=O)c1cccc(c1)C(=O)O.OCCO,324.0
CCCCOC(=O)C(=C)C#N,374.0
C=Cc1ccc(cc1)F,376.0
C=CC(=O)OCCCCCCCCCCCCCC,297.0
OC(=O)CCCCCCCC(=O)O.NCCCCCCN,332.0
O=C1CCCCCCCN1,324.0
C=Cc1ccc(C(=O)CCCCCCC)cc1,323.0
CC1CO1,200.0
C=CCC=C,208.0
O=C=O.C1CO1,290.0
C=CC(=O)OC(C)(C)C,311.0
C=CC(=O)NC(C)C,403.0
C=CC(=O)OCCC(=O)CC(F)(F)F,235.0
C=CC(C)C,292.0
O=C1OCC(=O)OC1,312.0
ClC=C,350.0
Oc1ccc(cc1)c1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,482.0
Oc1ccc(cc1)Cc1ccc(cc1)O.ClC(=O)Cl,407.0
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)F,224.0
C=CC(=O)Oc1ccccc1C,325.0
C=Cc2ccc(/C(Cc1ccccc1)=N/O)cc2,384.0
